เขต,ชื่อจังหวัด,รหัสหน่วยงาน,ชื่อหน่วยงาน,ประเภทหน่วยงาน,ประเภทServicePlan,จํานวนเตียงจริง,จํานวนเตียงICUทั่วไป,จํานวนเตียงNICU,จํานวนเตียงCCU,จํานวนเตียงICUแผนกโรคอื่นๆ,รวมจํานวนเตียงICUทั้งหมด,จํานวนห้องผ่าตัด,CMI_2561,IP_2561,วันนอนผู้ป่วยใน2561,TotalAdjRW2561,OP_Visit_2561,F19,F20,F21
1,เชียงราย,10674,โรงพยาบาลเชียงรายประชานุเคราะห์,โรงพยาบาลศูนย์,A,758,72,16,8,0,96,17,2.0121,69987,299229,140814,1104213,NULL,NULL,NULL
1,เชียงราย,11192,โรงพยาบาลแม่จัน,โรงพยาบาลชุมชน,M2,158,6,0,0,0,6,5,0.7279,11559,40410,8406,287765,NULL,NULL,NULL
1,เชียงราย,11194,โรงพยาบาลแม่สาย,โรงพยาบาลชุมชน,M2,118,0,0,0,0,0,5,0.7564,9622,32007,7273,256932,NULL,NULL,NULL
1,เชียงราย,11189,โรงพยาบาลเทิง,โรงพยาบาลชุมชน,F1,69,0,0,0,0,0,2,0.6963,4992,17862,3454,173176,NULL,NULL,NULL
1,เชียงราย,11190,โรงพยาบาลพาน,โรงพยาบาลชุมชน,F1,125,0,0,0,0,0,2,0.8053,8503,34858,6848,302071,NULL,NULL,NULL
1,เชียงราย,11196,โรงพยาบาลเวียงป่าเป้า,โรงพยาบาลชุมชน,F1,64,0,0,0,0,0,1,0.6762,5510,21274,3726,194405,NULL,NULL,NULL
1,เชียงราย,11454,โรงพยาบาลสมเด็จพระยุพราชเชียงของ,โรงพยาบาลชุมชน,F1,68,0,0,0,0,0,2,0.8791,5384,18265,4788,179240,NULL,NULL,NULL
1,เชียงราย,11199,โรงพยาบาลขุนตาล,โรงพยาบาลชุมชน,F2,41,0,0,0,0,0,0,0.6148,2286,7722,1405,102325,NULL,NULL,NULL
1,เชียงราย,11193,โรงพยาบาลเชียงแสน,โรงพยาบาลชุมชน,F2,52,0,0,0,0,0,1,0.6252,3601,10706,2251,160330,NULL,NULL,NULL
1,เชียงราย,11191,โรงพยาบาลป่าแดด,โรงพยาบาลชุมชน,F2,30,0,0,0,0,0,1,0.7463,1697,5501,1267,98257,NULL,NULL,NULL
