Region,PROVINCE_NAME,PROVINCE_EN
1,เชียงใหม่,Chiang Mai
1,เชียงราย,Chiang Rai
1,แพร่,Phrae
1,แม่ฮ่องสอน,Mae Hong Son
1,น่าน,Nan
1,พะเยา,Phayao
1,ลำปาง,Lampang
1,ลำพูน,Lamphun
2,เพชรบูรณ์,Phetchabun
2,ตาก,Tak
2,พิษณุโลก,Phitsanulok
2,สุโขทัย,Sukhothai
2,อุตรดิตถ์,Uttaradit
3,กำแพงเพชร,Kamphaeng Phet
3,ชัยนาท,Chai Nat
3,นครสวรรค์,Nakhon Sawan
3,พิจิตร,Phichit
3,อุทัยธานี,Uthai Thani
4,นครนายก,Nakhon Nayok
4,นนทบุรี,Nonthaburi
4,ปทุมธานี,Pathum Thani
4,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya
4,ลพบุรี,Lop Buri
4,สระบุรี,Saraburi
4,สิงห์บุรี,Sing Buri
4,อ่างทอง,Ang Thong
5,เพชรบุรี,Phetchaburi
5,กาญจนบุรี,Kanchanaburi
5,นครปฐม,Nakhon Pathom
5,ประจวบคีรีขันธ์,Prachuap Khiri Khan
5,ราชบุรี,Ratchaburi
5,สมุทรสงคราม,Samut Songkhram
5,สมุทรสาคร,Samut Sakhon
5,สุพรรณบุรี,Suphan Buri
6,จันทบุรี,Chanthaburi
6,ฉะเชิงเทรา,Chachoengsao
6,ชลบุรี,Chon Buri
6,ตราด,Trat
6,ปราจีนบุรี,Prachin Buri
6,ระยอง,Rayong
6,สมุทรปราการ,Samut Prakan
6,สระแก้ว,Sa Kaeo
7,กาฬสินธุ์,Kalasin
7,ขอนแก่น,Khon Kaen
7,มหาสารคาม,Maha Sarakham
7,ร้อยเอ็ด,Roi Et
8,เลย,Loei
8,นครพนม,Nakhon Phanom
8,บึงกาฬ,NULL
8,สกลนคร,Sakon Nakhon
8,หนองคาย,Nong Khai
8,หนองบัวลำภู,Nong Bua Lam Phu
8,อุดรธานี,Udon Thani
9,ชัยภูมิ,Chaiyaphum
9,นครราชสีมา,Nakhon Ratchasima
9,บุรีรัมย์,Buri Ram
9,สุรินทร์,Surin
10,มุกดาหาร,Mukdahan
10,ยโสธร,Yasothon
10,ศรีสะเกษ,Si Sa Ket
10,อำนาจเจริญ,Amnat Charoen
10,อุบลราชธานี,Ubon Ratchathani
11,กระบี่,Krabi
11,ชุมพร,Chumphon
11,นครศรีธรรมราช,Nakhon Si Thammarat
11,พังงา,Phangnga
11,ภูเก็ต,Phuket
11,ระนอง,Ranong
11,สุราษฎร์ธานี,Surat Thani
12,ตรัง,Trang
12,นราธิวาส,Narathiwat
12,ปัตตานี,Pattani
12,พัทลุง,Phatthalung
12,ยะลา,Yala
12,สงขลา,Songkhla
12,สตูล,Satun
13,กรุงเทพมหานคร,Bangkok Metropolis
